employer_id,employer_name,industry,sub_industry,company_size_band,hq_city,hq_state,hq_country,website_url,linkedin_url,is_faang_company,is_non_profit,slu_partnership_type,slu_partnership_level,slu_partnership_status,slu_partnership_start_date,primary_contact_name,primary_contact_title,primary_contact_email,primary_contact_phone
7001345c-7e0a-4dee-beb2-f350c6bb9114,Employer 0021,Education,University,Large,Seattle,WA,USA,https://www.example21.com,https://www.linkedin.com/company/example-21,0,0,Mentorship,Bronze,Prospect,2025-07-01,Christie Davis,Recruiter,contact21@example.com,+18539756659
f3f56de1-3d9a-4c42-aa44-f71035e530b9,Employer 0022,Education,University,Large,Dallas,TX,USA,https://www.example22.com,https://www.linkedin.com/company/example-22,0,0,Mentorship,Gold,Inactive,2023-08-26,Natalie Stewart,Recruiter,contact22@example.com,+13303802110
e105bca8-f4d0-41f2-aabd-f5c43a986589,Employer 0023,Government,Public Sector,Enterprise,Seattle,WA,USA,https://www.example23.com,https://www.linkedin.com/company/example-23,0,1,Sponsorship,Bronze,Inactive,2025-03-20,Erin Hughes,Recruiter,contact23@example.com,+12986412373
c967d53c-15f6-4794-9c25-6084f18b6776,Employer 0024,Healthcare,Provider,Medium,San Jose,CA,USA,https://www.example24.com,https://www.linkedin.com/company/example-24,0,0,Hiring,Bronze,Inactive,2025-05-31,Laura Williams,Recruiter,contact24@example.com,+16196788362
2803a277-80d2-49a7-9520-9dc788ae408a,Employer 0025,Retail,E-commerce,Large,Seattle,WA,USA,https://www.example25.com,https://www.linkedin.com/company/example-25,0,0,Donor,Gold,Inactive,2025-08-27,Micheal Campbell,Recruiter,contact25@example.com,+12518321681
9e3c22a8-e9dd-49f9-8adc-073de17a3100,Employer 0026,Finance,Banking,Medium,St. Louis,MO,USA,https://www.example26.com,https://www.linkedin.com/company/example-26,0,0,Donor,Gold,Prospect,2023-11-12,Sheila Fernandez,Recruiter,contact26@example.com,+19076367697
2b445af5-7aa6-4ad5-920b-7dc2e0355714,Employer 0027,Manufacturing,Industrial,Enterprise,Hyderabad,,India,https://www.example27.com,https://www.linkedin.com/company/example-27,0,1,Sponsorship,Silver,Prospect,2024-06-22,Charles Daniels,Recruiter,contact27@example.com,+14376164681
a74d099a-1358-4e25-92d3-51ddaadf1ada,Employer 0028,Healthcare,Provider,Large,Hyderabad,,India,https://www.example28.com,https://www.linkedin.com/company/example-28,0,0,Hiring,Gold,Prospect,2024-07-12,Melissa Smith,Recruiter,contact28@example.com,+12122256084
0e780f4f-ad08-4762-b990-3a5967454be3,Employer 0029,Retail,E-commerce,Medium,St. Louis,MO,USA,https://www.example29.com,https://www.linkedin.com/company/example-29,0,0,Sponsorship,Gold,Prospect,2024-07-31,Ryan Watson,Recruiter,contact29@example.com,+19813808469
a3f06afb-1885-493d-95f2-84294b896c20,Employer 0030,Manufacturing,Industrial,Large,Chicago,IL,USA,https://www.example30.com,https://www.linkedin.com/company/example-30,0,0,Mentorship,Gold,Active,2023-07-17,Daniel Townsend,Recruiter,contact30@example.com,+12464622946
c2515eab-ad0b-4609-9f4f-725118695d46,Employer 0031,Consulting,IT Services,Enterprise,San Jose,CA,USA,https://www.example31.com,https://www.linkedin.com/company/example-31,0,0,Academic,Gold,Active,2024-03-28,Thomas English,Recruiter,contact31@example.com,+18568776855
7e6908fd-ceac-49aa-8de5-14dbafb44c08,Employer 0032,Healthcare,Provider,Medium,New York,NY,USA,https://www.example32.com,https://www.linkedin.com/company/example-32,0,0,Donor,Gold,Active,2025-04-11,Elizabeth Smith,Recruiter,contact32@example.com,+12165569234
dc147031-5c8e-4be3-9d76-60fdef3509f2,Employer 0033,Healthcare,Provider,Medium,New York,NY,USA,https://www.example33.com,https://www.linkedin.com/company/example-33,0,1,Mentorship,Bronze,Active,2025-04-02,Andrea Howard,Recruiter,contact33@example.com,+19698262077
c805fd9a-f936-4bb0-8c25-32383a8e4cd8,Employer 0034,Technology,Cloud/Software,Medium,Hyderabad,,India,https://www.example34.com,https://www.linkedin.com/company/example-34,0,0,Hiring,Bronze,Active,2025-04-17,Christopher Jenkins,Recruiter,contact34@example.com,+18626417237
34563eaf-ed48-4926-9716-be290b11fb54,Employer 0035,Healthcare,Provider,Enterprise,Dallas,TX,USA,https://www.example35.com,https://www.linkedin.com/company/example-35,0,0,Academic,Bronze,Prospect,2023-12-12,James Andrade,Recruiter,contact35@example.com,+15833319442
762599f7-0869-4d9d-b881-4a14d202460a,Employer 0036,Healthcare,Provider,Enterprise,St. Louis,MO,USA,https://www.example36.com,https://www.linkedin.com/company/example-36,0,0,None,Bronze,Active,2024-06-24,Sharon Mack,Recruiter,contact36@example.com,+16689559098
88987eb8-bb39-4248-b6e4-2e2683119d63,Employer 0037,Government,Public Sector,Large,Seattle,WA,USA,https://www.example37.com,https://www.linkedin.com/company/example-37,0,1,Academic,Silver,Prospect,2023-12-24,Luis Black,Recruiter,contact37@example.com,+15556225850
4764c0c6-b521-4de9-b820-b699ab3f09f3,Employer 0038,Retail,E-commerce,Medium,San Jose,CA,USA,https://www.example38.com,https://www.linkedin.com/company/example-38,0,0,Mentorship,Bronze,Inactive,2023-07-17,Douglas Baldwin,Recruiter,contact38@example.com,+18472939400
90bb6a48-44f0-4451-bb4f-289820371c8e,Employer 0039,Retail,E-commerce,Medium,Seattle,WA,USA,https://www.example39.com,https://www.linkedin.com/company/example-39,0,0,Academic,Silver,Prospect,2023-06-28,Nicole Stanley,Recruiter,contact39@example.com,+12872806094
6fb188b0-93a2-4aeb-996e-a380754c6580,Employer 0040,Finance,Banking,Small,Dallas,TX,USA,https://www.example40.com,https://www.linkedin.com/company/example-40,0,0,Hiring,Silver,Prospect,2023-08-08,Charles Miller,Recruiter,contact40@example.com,+14342061984
e6a6ffa8-24da-43ef-98fa-023dc3bb5c43,Employer 0041,Government,Public Sector,Large,Austin,TX,USA,https://www.example41.com,https://www.linkedin.com/company/example-41,0,0,Hiring,Silver,Active,2024-06-14,Carol Thornton,Recruiter,contact41@example.com,+13458827323
700eb66f-6689-4cad-b72a-d5c13e61c9df,Employer 0042,Manufacturing,Industrial,Medium,Dallas,TX,USA,https://www.example42.com,https://www.linkedin.com/company/example-42,0,0,Mentorship,Silver,Inactive,2024-09-26,Thomas Martin,Recruiter,contact42@example.com,+18776554054
95fad35c-6681-4abf-990d-9335be47831d,Employer 0043,Finance,Banking,Large,Seattle,WA,USA,https://www.example43.com,https://www.linkedin.com/company/example-43,0,1,Hiring,Gold,Active,2025-04-10,Justin Juarez,Recruiter,contact43@example.com,+12318779356
a174de73-bb5d-4d3a-9b37-8669d0e1e3fe,Employer 0044,Healthcare,Provider,Large,Dallas,TX,USA,https://www.example44.com,https://www.linkedin.com/company/example-44,0,0,None,Silver,Inactive,2025-03-20,Richard Mccall,Recruiter,contact44@example.com,+17586014931
249aa5a5-2ba7-4991-8146-5ce7f53deff1,Employer 0045,Retail,E-commerce,Enterprise,St. Louis,MO,USA,https://www.example45.com,https://www.linkedin.com/company/example-45,0,0,None,Silver,Inactive,2024-11-18,Christopher Morrow,Recruiter,contact45@example.com,+13075124426
bb6126ad-1a72-4b34-9f87-3eb1c749f4f6,Employer 0046,Consulting,IT Services,Small,New York,NY,USA,https://www.example46.com,https://www.linkedin.com/company/example-46,0,0,Academic,Gold,Inactive,2025-06-06,Daniel Pacheco,Recruiter,contact46@example.com,+16472329533
f00f5547-7b80-4976-a0d3-4e88bd7e178e,Employer 0047,Consulting,IT Services,Enterprise,St. Louis,MO,USA,https://www.example47.com,https://www.linkedin.com/company/example-47,0,1,Academic,Bronze,Prospect,2023-06-09,Jacqueline Hall,Recruiter,contact47@example.com,+12776305029
1013f1ef-217a-4999-a6e9-df5983d15f86,Employer 0048,Healthcare,Provider,Enterprise,Dallas,TX,USA,https://www.example48.com,https://www.linkedin.com/company/example-48,0,0,Mentorship,Gold,Active,2024-04-10,Marie Torres,Recruiter,contact48@example.com,+17804814931
67a1de16-2e27-49c8-861e-a4b710bf88e2,Employer 0049,Education,University,Enterprise,Chicago,IL,USA,https://www.example49.com,https://www.linkedin.com/company/example-49,0,0,Mentorship,Bronze,Inactive,2024-05-23,Jennifer James,Recruiter,contact49@example.com,+16917137679
5d175d94-7f25-4cb7-aa68-b7847c70d9a5,Employer 0050,Healthcare,Provider,Enterprise,St. Louis,MO,USA,https://www.example50.com,https://www.linkedin.com/company/example-50,0,0,Donor,Gold,Active,2024-02-17,Holly Bruce,Recruiter,contact50@example.com,+14823368269
671569a8-22ae-4336-ab98-df5cc9c65462,Employer 0051,Retail,E-commerce,Small,Seattle,WA,USA,https://www.example51.com,https://www.linkedin.com/company/example-51,0,0,Donor,Silver,Prospect,2024-08-11,Jennifer Powell,Recruiter,contact51@example.com,+12332879154
3597f949-13b4-40cb-a558-fd7d15067049,Employer 0052,Healthcare,Provider,Small,Austin,TX,USA,https://www.example52.com,https://www.linkedin.com/company/example-52,0,0,None,Bronze,Active,2023-06-17,Jeffrey Long,Recruiter,contact52@example.com,+17413816666
b5a1ecea-a73b-4756-9303-5bc453c9edd0,Employer 0053,Government,Public Sector,Small,Austin,TX,USA,https://www.example53.com,https://www.linkedin.com/company/example-53,0,1,Donor,Bronze,Active,2024-01-09,Ashley Lee,Recruiter,contact53@example.com,+14437527626
96415698-c1b6-439d-a114-d4e0a280cc37,Employer 0054,Government,Public Sector,Small,Hyderabad,,India,https://www.example54.com,https://www.linkedin.com/company/example-54,0,0,Hiring,Bronze,Active,2025-07-01,Mr. Jason Warren,Recruiter,contact54@example.com,+17926278375
a3647604-1504-4b6f-a3e5-967b89c85e3c,Employer 0055,Education,University,Large,Chicago,IL,USA,https://www.example55.com,https://www.linkedin.com/company/example-55,0,0,None,Silver,Inactive,2023-06-06,Joseph Griffin,Recruiter,contact55@example.com,+15056267154
025a53d7-4960-4852-96d8-bdc5a787a01c,Employer 0056,Government,Public Sector,Small,Seattle,WA,USA,https://www.example56.com,https://www.linkedin.com/company/example-56,0,0,Sponsorship,Bronze,Active,2023-12-21,James Jackson,Recruiter,contact56@example.com,+19934753301
b27ba0c3-ad27-4f63-bd0f-0e6ba53a3079,Employer 0057,Healthcare,Provider,Medium,Hyderabad,,India,https://www.example57.com,https://www.linkedin.com/company/example-57,0,1,Academic,Bronze,Inactive,2024-03-03,Karen Colon,Recruiter,contact57@example.com,+17973467263
0c7f5c1b-888b-4b64-a372-fbc2d26545bf,Employer 0058,Education,University,Large,Chicago,IL,USA,https://www.example58.com,https://www.linkedin.com/company/example-58,0,0,Mentorship,Bronze,Prospect,2025-03-20,Karen Kirk,Recruiter,contact58@example.com,+18564547745
9d11e3d3-fcdf-4a61-a49d-152f4fbab022,Employer 0059,Retail,E-commerce,Small,New York,NY,USA,https://www.example59.com,https://www.linkedin.com/company/example-59,0,0,Sponsorship,Gold,Inactive,2023-08-03,Michelle Joyce,Recruiter,contact59@example.com,+17737211905
c9b967fb-9ea7-4084-baa2-542132e4cb35,Employer 0060,Consulting,IT Services,Small,St. Louis,MO,USA,https://www.example60.com,https://www.linkedin.com/company/example-60,0,0,Mentorship,Bronze,Active,2025-05-11,George Marks,Recruiter,contact60@example.com,+18003794283
239aea58-8414-4908-9e3a-a32940fccb51,Employer 0061,Technology,Cloud/Software,Medium,Austin,TX,USA,https://www.example61.com,https://www.linkedin.com/company/example-61,0,0,Academic,Gold,Inactive,2023-08-26,Belinda Graham,Recruiter,contact61@example.com,+18012325584
8b32c992-d66f-40c0-be0e-717242f62601,Employer 0062,Government,Public Sector,Medium,Seattle,WA,USA,https://www.example62.com,https://www.linkedin.com/company/example-62,0,0,Donor,Gold,Active,2023-11-23,Bradley Duncan,Recruiter,contact62@example.com,+17394679880
d06d07a0-785a-441e-ab35-904b3194e829,Employer 0063,Manufacturing,Industrial,Enterprise,San Jose,CA,USA,https://www.example63.com,https://www.linkedin.com/company/example-63,0,1,None,Silver,Active,2024-09-18,Amy Meadows,Recruiter,contact63@example.com,+15698567715
88ee1626-cee6-4192-9333-6ee676d5affd,Employer 0064,Consulting,IT Services,Enterprise,San Jose,CA,USA,https://www.example64.com,https://www.linkedin.com/company/example-64,0,0,None,Gold,Active,2023-10-08,Elizabeth Tucker,Recruiter,contact64@example.com,+19208255837
e26a7786-cd5e-4237-b6e7-14fc4d48fe6c,Employer 0065,Education,University,Large,Hyderabad,,India,https://www.example65.com,https://www.linkedin.com/company/example-65,0,0,Hiring,Silver,Inactive,2025-06-19,Evelyn Chapman,Recruiter,contact65@example.com,+19103209594
0a79dad3-c310-4e43-a841-b424badf1c76,Employer 0066,Consulting,IT Services,Medium,Austin,TX,USA,https://www.example66.com,https://www.linkedin.com/company/example-66,0,0,Mentorship,Gold,Prospect,2023-09-18,Arthur Caldwell,Recruiter,contact66@example.com,+19699735104
52a73f11-16f6-44dd-94f2-3e3d8e46c58d,Employer 0067,Healthcare,Provider,Small,St. Louis,MO,USA,https://www.example67.com,https://www.linkedin.com/company/example-67,0,1,Academic,Silver,Prospect,2024-06-29,Kristen Watson,Recruiter,contact67@example.com,+19156385574
7c331490-df67-438c-94cd-9251474f68da,Employer 0068,Education,University,Enterprise,Hyderabad,,India,https://www.example68.com,https://www.linkedin.com/company/example-68,0,0,Sponsorship,Bronze,Active,2023-12-18,Christopher Sharp,Recruiter,contact68@example.com,+19008458895
523b4d24-284f-40da-97c7-e2c07ff56dbb,Employer 0069,Healthcare,Provider,Small,San Jose,CA,USA,https://www.example69.com,https://www.linkedin.com/company/example-69,0,0,Hiring,Silver,Inactive,2025-03-18,William Perez,Recruiter,contact69@example.com,+17504318833
173d76fb-8369-4d4d-a2c4-a64a82edf4be,Employer 0070,Healthcare,Provider,Enterprise,Hyderabad,,India,https://www.example70.com,https://www.linkedin.com/company/example-70,0,0,Mentorship,Bronze,Active,2023-05-16,Teresa Brown,Recruiter,contact70@example.com,+12432753780
b9e1a1aa-4e9d-4ffe-a1cf-a3a19cd6d5f1,Employer 0071,Manufacturing,Industrial,Enterprise,Austin,TX,USA,https://www.example71.com,https://www.linkedin.com/company/example-71,0,0,Hiring,Bronze,Active,2025-04-26,Anthony Archer,Recruiter,contact71@example.com,+18875091069
08a9bf55-4f52-4fff-94df-219c37f11358,Employer 0072,Technology,Cloud/Software,Medium,Chicago,IL,USA,https://www.example72.com,https://www.linkedin.com/company/example-72,0,0,Donor,Silver,Active,2024-08-31,Mary Martinez,Recruiter,contact72@example.com,+16653354855
e0032d18-e23c-4f0b-92ce-e59c2d139413,Employer 0073,Manufacturing,Industrial,Large,Hyderabad,,India,https://www.example73.com,https://www.linkedin.com/company/example-73,0,1,Academic,Bronze,Active,2025-09-01,Charles Jordan,Recruiter,contact73@example.com,+17418721344
dff406fd-a6d9-4e2e-ae66-b732af26b76d,Employer 0074,Healthcare,Provider,Enterprise,Hyderabad,,India,https://www.example74.com,https://www.linkedin.com/company/example-74,0,0,Hiring,Gold,Active,2023-11-22,Logan Smith,Recruiter,contact74@example.com,+17543117226
4974ecbe-904f-4355-b4ae-bee882d1a13a,Employer 0075,Government,Public Sector,Small,New York,NY,USA,https://www.example75.com,https://www.linkedin.com/company/example-75,0,0,Sponsorship,Gold,Active,2024-01-14,Jerry Robinson,Recruiter,contact75@example.com,+18105818068
0034bc97-4d54-4fdb-9be9-d3e92f094a32,Employer 0076,Manufacturing,Industrial,Medium,San Jose,CA,USA,https://www.example76.com,https://www.linkedin.com/company/example-76,0,0,None,Silver,Prospect,2023-12-31,Deanna Walker,Recruiter,contact76@example.com,+17138014281
b0c510e2-d3cf-440e-8a86-d14a22e1be89,Employer 0077,Government,Public Sector,Large,San Jose,CA,USA,https://www.example77.com,https://www.linkedin.com/company/example-77,0,1,Donor,Bronze,Active,2023-07-22,Deborah Sanders,Recruiter,contact77@example.com,+14248396380
7ed13cac-49be-4148-a17c-59e1d59ad917,Employer 0078,Manufacturing,Industrial,Medium,Austin,TX,USA,https://www.example78.com,https://www.linkedin.com/company/example-78,0,0,Hiring,Bronze,Inactive,2024-06-24,Kimberly Silva,Recruiter,contact78@example.com,+12403452884
96c7074d-9408-4500-8cc7-b6ccbd9ad30a,Employer 0079,Retail,E-commerce,Enterprise,Austin,TX,USA,https://www.example79.com,https://www.linkedin.com/company/example-79,0,0,Academic,Bronze,Prospect,2024-04-09,Kari Barnes,Recruiter,contact79@example.com,+13532162882
a7ce6fa5-be95-499d-9260-9d2ee5abbe2c,Employer 0080,Healthcare,Provider,Large,Austin,TX,USA,https://www.example80.com,https://www.linkedin.com/company/example-80,0,0,None,Silver,Inactive,2024-11-13,Adam Ayala,Recruiter,contact80@example.com,+13204993530
b54e05f5-e52e-4298-8301-4072de4b321d,Employer 0081,Consulting,IT Services,Enterprise,Austin,TX,USA,https://www.example81.com,https://www.linkedin.com/company/example-81,0,0,Donor,Gold,Prospect,2023-05-20,Heather Vargas,Recruiter,contact81@example.com,+19267114457
c2bdbd60-7b6c-4e45-8876-b674d3d008ff,Employer 0082,Government,Public Sector,Enterprise,Seattle,WA,USA,https://www.example82.com,https://www.linkedin.com/company/example-82,0,0,Academic,Silver,Active,2023-11-17,Douglas Bush,Recruiter,contact82@example.com,+13766337275
b838fe7e-e4b1-4d36-8b76-95d0c9a51f2e,Employer 0083,Technology,Cloud/Software,Large,New York,NY,USA,https://www.example83.com,https://www.linkedin.com/company/example-83,0,1,None,Gold,Prospect,2025-06-19,Tracy Schmidt,Recruiter,contact83@example.com,+16777272307
9f498219-326b-412e-8534-f526c41ae111,Employer 0084,Retail,E-commerce,Medium,St. Louis,MO,USA,https://www.example84.com,https://www.linkedin.com/company/example-84,0,0,Academic,Gold,Inactive,2024-05-06,Christine Wilson,Recruiter,contact84@example.com,+16183027824
dec407e5-f25c-4b33-aa05-708678599963,Employer 0085,Government,Public Sector,Small,Seattle,WA,USA,https://www.example85.com,https://www.linkedin.com/company/example-85,0,0,Donor,Silver,Prospect,2025-07-27,William Tanner,Recruiter,contact85@example.com,+19963229500
e91c8d18-f76d-4eb2-816f-e8549b3ce9a2,Employer 0086,Manufacturing,Industrial,Enterprise,St. Louis,MO,USA,https://www.example86.com,https://www.linkedin.com/company/example-86,0,0,Academic,Gold,Prospect,2024-01-11,Keith Ferguson,Recruiter,contact86@example.com,+19775804724
96df1284-6db2-45a0-a513-0206626198e8,Employer 0087,Education,University,Medium,Seattle,WA,USA,https://www.example87.com,https://www.linkedin.com/company/example-87,0,1,Academic,Bronze,Prospect,2023-12-31,Caleb Williams,Recruiter,contact87@example.com,+13708649447
827670cb-f073-4131-9782-99b8451e1bf6,Employer 0088,Finance,Banking,Enterprise,Austin,TX,USA,https://www.example88.com,https://www.linkedin.com/company/example-88,0,0,Donor,Gold,Prospect,2023-12-31,William Williams,Recruiter,contact88@example.com,+17166185587
d1c55484-c0c8-4dc7-a33e-a0552dc8b495,Employer 0089,Manufacturing,Industrial,Enterprise,St. Louis,MO,USA,https://www.example89.com,https://www.linkedin.com/company/example-89,0,0,Mentorship,Bronze,Inactive,2025-07-01,Jeremy Guerrero,Recruiter,contact89@example.com,+13033912399
f08eb170-4799-4d59-b25d-9ba4dcab7f28,Employer 0090,Healthcare,Provider,Enterprise,Dallas,TX,USA,https://www.example90.com,https://www.linkedin.com/company/example-90,0,0,Donor,Gold,Active,2024-09-10,Jessica Reyes,Recruiter,contact90@example.com,+19617607474
700fc79b-d908-4e5e-b41d-37ce5dd2bce0,Employer 0091,Manufacturing,Industrial,Large,Hyderabad,,India,https://www.example91.com,https://www.linkedin.com/company/example-91,0,0,Academic,Silver,Prospect,2025-09-10,Robert Meyer,Recruiter,contact91@example.com,+12902866033
ea8d51e0-ea2c-47e3-8ed4-3211851b8e6e,Employer 0092,Consulting,IT Services,Large,San Jose,CA,USA,https://www.example92.com,https://www.linkedin.com/company/example-92,0,0,Academic,Bronze,Inactive,2025-02-15,Erin Hopkins,Recruiter,contact92@example.com,+13939628239
663b4ea1-a3b2-47ba-9592-ffc6ff2019b3,Employer 0093,Healthcare,Provider,Large,Austin,TX,USA,https://www.example93.com,https://www.linkedin.com/company/example-93,0,1,Mentorship,Silver,Inactive,2025-01-11,Amanda Gibson,Recruiter,contact93@example.com,+18108007538
42aca260-973f-4d7d-942c-ab07c1e5eb87,Employer 0094,Healthcare,Provider,Small,Dallas,TX,USA,https://www.example94.com,https://www.linkedin.com/company/example-94,0,0,Academic,Bronze,Inactive,2024-01-13,Melanie Hernandez MD,Recruiter,contact94@example.com,+14228571529
eef57293-59b4-472f-8a3e-b2af98faf9ac,Employer 0095,Government,Public Sector,Medium,Chicago,IL,USA,https://www.example95.com,https://www.linkedin.com/company/example-95,0,0,Donor,Gold,Active,2024-04-22,Sharon Berger,Recruiter,contact95@example.com,+19416786565
fd9e0962-f3ed-4a13-8814-66a79a5d14ad,Employer 0096,Consulting,IT Services,Small,Austin,TX,USA,https://www.example96.com,https://www.linkedin.com/company/example-96,0,0,Academic,Bronze,Active,2025-01-12,Christian Davis,Recruiter,contact96@example.com,+14386239384
e9538abc-717c-4e46-ac52-d7bbd8502065,Employer 0097,Government,Public Sector,Large,San Jose,CA,USA,https://www.example97.com,https://www.linkedin.com/company/example-97,0,1,Mentorship,Bronze,Inactive,2025-05-29,Michael Walker,Recruiter,contact97@example.com,+15532214211
2cd83d1b-8889-427e-acbd-edd0b9aba981,Employer 0098,Finance,Banking,Medium,Austin,TX,USA,https://www.example98.com,https://www.linkedin.com/company/example-98,0,0,Academic,Silver,Active,2023-11-10,Heather Horton,Recruiter,contact98@example.com,+13904355098
d4dc5c8c-7e8d-43b9-b44e-0a8281cef5ec,Employer 0099,Education,University,Large,Dallas,TX,USA,https://www.example99.com,https://www.linkedin.com/company/example-99,0,0,None,Bronze,Active,2024-01-10,Jonathan Harris,Recruiter,contact99@example.com,+17746186604
ca531866-f5ae-406a-891e-a9c1002d416c,Employer 0100,Government,Public Sector,Enterprise,Austin,TX,USA,https://www.example100.com,https://www.linkedin.com/company/example-100,0,0,Sponsorship,Bronze,Prospect,2023-08-19,Nancy Thompson,Recruiter,contact100@example.com,+15103901795
